,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
384,10,0.019226749893277884,17.0,2763.0,True,250,0.9,500
385,0,0.00015583261847496033,13.0,500.0,True,500,0.1,500
386,1,0.0036160419695079327,19.0,1002.0,True,500,0.1,500
387,2,0.0053331670351326466,20.0,1504.0,True,500,0.1,500
388,3,0.007114499807357788,20.0,2005.0,True,500,0.1,500
389,4,0.008892166893929243,20.0,2506.0,True,500,0.1,500
390,5,0.010607832577079535,20.0,3007.0,True,500,0.1,500
391,6,0.012289749924093485,20.0,3508.0,True,500,0.1,500
392,7,0.014058916829526424,20.0,4009.0,True,500,0.1,500
393,8,0.01586658274754882,20.0,4510.0,True,500,0.1,500
394,9,0.017557582817971706,20.0,5011.0,True,500,0.1,500
395,10,0.019226749893277884,20.0,5512.0,True,500,0.1,500
396,0,0.00015583261847496033,13.0,500.0,True,500,0.25,500
397,1,0.0036160419695079327,18.0,1002.0,True,500,0.25,500
398,2,0.0053331670351326466,18.0,1503.0,True,500,0.25,500
399,3,0.007114499807357788,20.0,2005.0,True,500,0.25,500
400,4,0.008892166893929243,20.0,2506.0,True,500,0.25,500
401,5,0.010607832577079535,20.0,3007.0,True,500,0.25,500
402,6,0.012289749924093485,20.0,3508.0,True,500,0.25,500
403,7,0.014058916829526424,20.0,4009.0,True,500,0.25,500
404,8,0.01586658274754882,20.0,4510.0,True,500,0.25,500
405,9,0.017557582817971706,20.0,5011.0,True,500,0.25,500
406,10,0.019226749893277884,20.0,5512.0,True,500,0.25,500
407,0,0.00015583261847496033,13.0,500.0,True,500,0.5,500
408,1,0.0036160419695079327,17.0,1002.0,True,500,0.5,500
409,2,0.0053331670351326466,18.0,1504.0,True,500,0.5,500
410,3,0.007114499807357788,19.0,2006.0,True,500,0.5,500
411,4,0.008892166893929243,20.0,2508.0,True,500,0.5,500
412,5,0.010607832577079535,20.0,3009.0,True,500,0.5,500
413,6,0.012289749924093485,20.0,3510.0,True,500,0.5,500
414,7,0.014058916829526424,20.0,4011.0,True,500,0.5,500
415,8,0.01586658274754882,20.0,4512.0,True,500,0.5,500
416,9,0.017557582817971706,20.0,5013.0,True,500,0.5,500
417,10,0.019226749893277884,20.0,5514.0,True,500,0.5,500
418,0,0.00015583261847496033,13.0,500.0,True,500,0.75,500
419,1,0.0036160419695079327,16.0,1002.0,True,500,0.75,500
420,2,0.0053331670351326466,17.0,1504.0,True,500,0.75,500
421,3,0.007114499807357788,18.0,2006.0,True,500,0.75,500
422,4,0.008892166893929243,18.0,2507.0,True,500,0.75,500
423,5,0.010607832577079535,18.0,3008.0,True,500,0.75,500
