,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
20,0,8.0,931,0.1462798328138888,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",25,600,9
21,100,18.0,1033,0.1696797078475356,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",25,600,9
22,0,4.0,1033,0.17501954082399607,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",25,600,10
23,100,17.0,1138,0.20069616567343473,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1]",25,600,10
24,0,14.0,1138,0.2063114158809185,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",25,600,11
25,100,17.0,1240,0.23424174962565303,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",25,600,11
26,0,14.0,1240,0.24056583270430565,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0]",25,600,12
27,100,18.0,1343,0.27081420784816146,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25,600,12
28,0,4.0,1343,0.2772464998997748,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",25,600,13
29,100,10.0,1446,0.30973787466064095,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25,600,13
30,0,14.0,1446,0.3164019579999149,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",25,600,14
31,100,14.0,1546,0.3511168328113854,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",25,600,14
32,0,12.0,1546,0.358132790774107,"[1, 1, 0, 1, 1, 0, 0, 1, 0, 1]",25,600,15
33,100,18.0,1652,0.39513499988242984,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",25,600,15
34,0,12.0,1652,0.4024868328124285,"[0, 1, 1, 0, 1, 0, 1, 0, 0, 1]",25,600,16
35,100,17.0,1755,0.44147579092532396,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",25,600,16
36,0,7.0,1755,0.44932091562077403,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",25,600,17
37,100,18.0,1857,0.49084583297371864,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",25,600,17
38,0,6.0,1857,0.4989957078360021,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",25,600,18
39,100,17.0,1959,0.5428059576079249,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",25,600,18
40,0,12.0,1959,0.5512797497212887,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0]",25,600,19
41,100,18.0,2062,0.5975072495639324,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",25,600,19
42,0,13.0,2062,0.6068934579379857,"[0, 0, 0, 1, 0, 1, 0, 1, 1, 1]",25,600,20
43,100,18.0,2165,0.6552689578384161,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",25,600,20
44,0,13.0,2165,0.6642772909253836,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",25,600,21
45,100,15.0,2266,0.7147807497531176,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",25,600,21
46,0,14.0,2266,0.7241525407880545,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 1]",25,600,22
47,100,14.0,2366,0.7768612075597048,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 1]",25,600,22
48,0,3.0,2366,0.7865352495573461,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",25,600,23
49,100,16.0,2469,0.841535999905318,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 1]",25,600,23
50,0,3.0,2469,0.8515277910046279,"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",25,600,24
51,100,15.0,2572,0.9083988326601684,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",25,600,24
52,0,13.0,2572,0.9187871655449271,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 1]",25,600,25
53,100,18.0,2675,0.9787726658396423,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",25,600,25
